"Название товара";"Короткое описание товара";"Полное описание товара";"Скрыт ли товар на сайте?";Артикул;"Цена продажи, без учёта скидок";"Старая цена";"Закупочная цена";Остаток;"Ед. измерения";"Изображения товара";"Короткое SEO описание товара";"Полное SEO описание товара";"Заголовок страницы товара";"Мета-тег keywords";"Мета-тег description";"URL переменная пути";"Описание модификации товара";"Идентификатор товара в магазине";"Пользовательский идентификатор товара";"Название х-ки товара №1";"Значение х-ки товара №1";"Название х-ки товара №2";"Значение х-ки товара №2";"Название х-ки товара №3";"Значение х-ки товара №3";"Название х-ки товара №4";"Значение х-ки товара №4";"Название х-ки товара №5";"Значение х-ки товара №5";"Название х-ки товара №6";"Значение х-ки товара №6";"Название х-ки товара №7";"Значение х-ки товара №7";"Название х-ки товара №8";"Значение х-ки товара №8";"Название х-ки товара №9";"Значение х-ки товара №9";"Название х-ки товара №10";"Значение х-ки товара №10";"Название х-ки товара №11";"Значение х-ки товара №11";"Название х-ки товара №12";"Значение х-ки товара №12";"Название х-ки товара №13";"Значение х-ки товара №13";"Название х-ки товара №14";"Значение х-ки товара №14";"Название х-ки товара №15";"Значение х-ки товара №15";"Название х-ки товара №16";"Значение х-ки товара №16";"Название х-ки товара №17";"Значение х-ки товара №17";"Название х-ки товара №18";"Значение х-ки товара №18";"Название х-ки товара №19";"Значение х-ки товара №19";"Название х-ки товара №20";"Значение х-ки товара №20";"Название х-ки товара №21";"Значение х-ки товара №21";"Название х-ки товара №22";"Значение х-ки товара №22";"Название х-ки товара №23";"Значение х-ки товара №23";"Название св-ва для модификации товара №1";"Значение св-ва для модификации товара №1";"Название св-ва для модификации товара №2";"Значение св-ва для модификации товара №2"
"Контейнер для приготовления блюд в микроволновой печи Pasta Boat";"Контейнер для приготовления блюд Pasta Boat – это кухонный контейнер, который подходит для приготовления пельменей, вареников, различных блюд в микроволновой печи на пару. Он прекрасно справляется с приготовлением мяса и рыбы, овощных блюд и фруктовых десертов. При этом ни одно Ваше блюдо не слипнется, а обретёт аппетитный вид и приятный вкус и аромат. Одновременно можно готовить два блюда. Контейнер и его ручки изготовлены из термостойког пищевого пластика.";"Специализированные кухонные контейнеры для приготовления блюд в микроволновой печи Pasta Boat— оптимальное решение для любителей блюд на скорую руку из микроволновой печи. Пользоваться им достаточно просто — Вы просто кладёте в контейнер, например, макароны, заливаете водой и отправляете в микроволновку на несколько минут. И всё, Ваше блюдо готово – быстро, просто, вкусно. Больше никаких размякших спагетти и недоваренных равиоли — Pasta Boat позволяет насладиться любимым, правильно и быстро приготовленным блюдом.<br />
 <br />
<span style=""font-size:20px;"">Преимущества и особенности контейнера <span background-color:="""" style=""color: rgb(51, 51, 51); font-family: sans-serif, Arial, Verdana, "" trebuchet="""">Pasta Boat</span>:</span>
<ul>
	<li>в процессе приготовления макароны не слипаются и не пригорают;</li>
	<li>контейнер легко хранить, допустимо мытьё вручную или посудомоечной машине;</li>
	<li>термоустойчивые ручки не дадут обжечься при извлечении контейнера с готовым блюдом из микроволновки;</li>
	<li>можно готовить несколько блюд одновременно;</li>
	<li>удобная пластиковая крышка-дуршлаг поможет легко слить воду;</li>
	<li>в этом контейнере можно готовить самые различные блюда — макароны, крупы, мясо, рыбу, овощи, различные полуфабрикаты;</li>
	<li>изготовлен из прочного и долговечного пластика, Pasta Boat идеален для использования в микроволновой печи и готовки на пару;</li>
	<li>можно готовить сразу два блюда, есть крышка-дуршлаг для слива воды.</li>
</ul>
Уникальное строение данного контейнера позволяет приготовить макароны качественно и быстро (буквально в считанные минуты). Равномерность прогрева блюда обеспечивается потоком воды, образующимся в ходе готовки.<br />
<br />
<span style=""font-size:20px;"">Характеристики:</span>

<ul>
	<li>Модель: Pasta Boat</li>
	<li>Назначение: приготовление блюд в микроволновой печи (макароны, мясо, рыба, овощи и др.)</li>
	<li>Тип: контейнер</li>
	<li>Материал: пищевой пластик</li>
	<li>Ручки: термостойкие</li>
	<li>Особенности: можно готовить сразу два блюда, есть крышка-дуршлаг для слива воды</li>
	<li>Размер упаковки: 28*23*15 см.</li>
</ul>";;00100554A;690,00;0,00;290,00;21,00000;шт;"http://i4.happy-sale.ru/1/7650/76497382/6e1ffd/kontejner-dlya-prigotovleniya-blyud-v-mikrovolnovoj-pechi-pasta-boat.jpg
http://i4.happy-sale.ru/1/7650/76497381/6e1ffd/kontejner-dlya-prigotovleniya-blyud-v-mikrovolnovoj-pechi-pasta-boat.jpg
http://i4.happy-sale.ru/1/7650/76497383/6e1ffd/kontejner-dlya-prigotovleniya-blyud-v-mikrovolnovoj-pechi-pasta-boat.jpg
http://i4.happy-sale.ru/1/7650/76497384/6e1ffd/kontejner-dlya-prigotovleniya-blyud-v-mikrovolnovoj-pechi-pasta-boat.jpg";;;;;;Kontejner-dlya-prigotovleniya-blyud-v-mikrovolnovoj-pechi-Pasta-Boat;;62729787;;Материал;"пищевой пластик";Модель;"Pasta Boat";Назначение;"приготовление блюд в микроволновой печи";"Размер упаковки";"28*23*15 см.";Ручки;термостойкие;"Тип застежки";контейнер;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Модификация;Базовая;;
"Омлетница с антипригарным покрытием Folding Omelette Pan";"Омлетница с антипригарным покрытием Folding Omelette Pan - эта необычная сковорода предназначена для жарки омлета или фриттаты (традиционного итальянского омлета с начинкой). Благодаря складной конструкции, она очень удобна в использовании — для равномерной обжарки изделия достаточно просто перевернуть сковороду на другую сторону.";"Омлетница с антипригарным покрытием Folding Omelette Pan предназначена для быстрого приготовления румяного омлета <span background-color:="""" font-size:="""" style=""color: rgb(51, 51, 51); font-family: sans-serif, Arial, Verdana, "" trebuchet=""""> классического </span>и с различными начинками из мяса и овощей. Обжаривание происходит с двух сторон.<br />
<br />
<span style=""font-size:20px;"">Характеристики:</span><br />
<br />
Размер половинки - 21х12 см<br />
Глубина - 3 см.";;00102143;"1 199,00";0,00;590,00;5,00000;шт;"http://i4.happy-sale.ru/1/7650/76497054/6e1ffd/omletnica-s-antiprigarnym-pokrytiem-folding-omelette-pan-1-jpg.jpg
http://i4.happy-sale.ru/1/7650/76497055/6e1ffd/omletnica-s-antiprigarnym-pokrytiem-folding-omelette-pan-2-jpg.jpg
http://i4.happy-sale.ru/1/7650/76497056/6e1ffd/omletnica-s-antiprigarnym-pokrytiem-folding-omelette-pan-3-jpg.jpg
http://i4.happy-sale.ru/1/7650/76497057/6e1ffd/omletnica-s-antiprigarnym-pokrytiem-folding-omelette-pan-4-jpg.jpg
http://i4.happy-sale.ru/1/7650/76497058/6e1ffd/omletnica-s-antiprigarnym-pokrytiem-folding-omelette-pan-5-jpg.jpg";;;;;;Omletnica-s-antiprigarnym-pokrytiem-Folding-Omelette-Pan;;62729729;;Глубина;"3 см";Назначение;омлетница;Покрытие;антипригарное;Размер;"21х12 см";Тип;"Товары для кухни";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Модификация;Базовая;;
"Набор для приготовления роллов и суши Мидори (Sushi Maker)";"Набор для приготовления роллов и суши Мидори (Sushi Maker) предназначен для приготовления вкусных суши и роллов в домашних условиях. В наборе 10 предметов из пищевого долговечного пластика. Вы сами контролируете процесс и качество приготовления, используя традишионные или созданные собственные рецепты.";"Для ценителей восточной кухни. С его помощью можно легко приготовить в домашних условиях вкусные роллы, по качеству не уступающие сделанным в суши-баре.<br />
Домашняя готовка позволяет контролировать процесс приготовления любимого блюда на всех этапах. Готовьте по традиционным рецептам или создавайте свои собственные кулинарные шедевры.<br />
 <br />
<span style=""font-size:20px;"">Комплектация:</span>
<ul>
	<li>большие и малые квадратные формы с крышкой для формирования роллов;</li>
	<li>полукруглая форма большого размера с крышкой;</li>
	<li>треугольная форма большого размера с крышкой;</li>
	<li> лопатка и вилка для извлечения готовых изделий;</li>
	<li>коробка для хранения и транспортировки.</li>
</ul>
<span style=""font-size:20px;"">Характеристики:</span>

<ul>
	<li>Материал: долговечный пищевой пластик.</li>
	<li>Вес набора: 1,75 кг.</li>
	<li>Компания-производитель: Bradex.</li>
	<li>Цвет: черный.</li>
	<li>Количество предметов в наборе: 10.</li>
	<li>Страна производитель: Китай.</li>
	<li>Габариты упаковки (ДxШxВ): 27 x 15 x 8.50 см.</li>
</ul>";;00100073A;"1 090,00";0,00;440,00;15,00000;шт;"http://i4.happy-sale.ru/1/7650/76495989/6e1ffd/nabor-dlya-prigotovleniya-rollov-i-sushi-midori-sushi-maker.jpg
http://i1.happy-sale.ru/1/7650/76496001/6e1ffd/nabor-dlya-prigotovleniya-rollov-i-sushi-midori-sushi-maker.jpg
http://i4.happy-sale.ru/1/7650/76495991/6e1ffd/nabor-dlya-prigotovleniya-rollov-i-sushi-midori-sushi-maker.jpg
http://i4.happy-sale.ru/1/7650/76495990/6e1ffd/nabor-dlya-prigotovleniya-rollov-i-sushi-midori-sushi-maker.jpg";;;;;;Nabor-dlya-prigotovleniya-rollov-i-sushi-Midori-Sushi-Maker;;62729185;;Вес;"1,75 кг.";Компания-производитель;Bradex;Материал;"пищевой пластик";"Размер упаковки";"27 x 15 x 8.50 см.";Тип;"Товары для кухни";Цвет;черный;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Модификация;Базовая;;
"Пресс для Бургера Stufz";"Пресс для бургера Stufz позволяет легко и быстро слепить аккуратную котлету или пирог с начинкой, экономя при этом Ваше время и рабочее пространство кухни. Изготовлен из пищевого пластика. Легко очищается, при хранении занимает мало места. Компактен, можно брать с собой. Цвет: красный";"Пресс для бургеров Stufz предназначен  для приготовления сочной и аппетитной закуски.<br />
<br />
<span style=""font-size:20px;"">Преимущества и особенности:</span>
<ul>
	<li>полностью механическая структура приспособления позволяет его использование дома, на даче, на пикнике и т. д., независимо от наличия доступа к электросети, а малые габариты существенно упрощают хранение пресса;</li>
	<li>процесс приготовления котлет и пирогов настолько прост, что доступен даже детям:</li>
	<li>все изделия получаются ровными и аккуратными, что повышает аппетитность и привлекательность блюд;</li>
	<li>материалы, из которых изготовлен бургер-пресс, абсолютно безопасны и не влияют на вкус блюда;</li>
	<li>рекомендуется мытьё вручную с использованием обычного средства для мытья посуды.</li>
</ul>
<br />
<span style=""font-size:20px;"">Характеристики:</span>

<ul>
	<li>Модель — Stufz.</li>
	<li>Страна-производитель: Китай.</li>
	<li>Цвет — красный.</li>
	<li>Материал — пластик.</li>
	<li>Упаковка — картонная коробка.</li>
	<li>Размеры — 20*12*6 см.</li>
	<li>Вес — 181 г.</li>
</ul>";;00100451A;300,00;0,00;128,00;11,00000;шт;"http://i4.happy-sale.ru/1/7650/76495304/6e1ffd/press-dlya-burgera-stufz.jpg
http://i4.happy-sale.ru/1/7650/76495303/6e1ffd/press-dlya-burgera-stufz.jpg
http://i4.happy-sale.ru/1/7650/76495305/6e1ffd/press-dlya-burgera-stufz.jpg
http://i4.happy-sale.ru/1/7650/76495306/6e1ffd/press-dlya-burgera-stufz.jpg
http://i4.happy-sale.ru/1/7650/76495307/6e1ffd/press-dlya-burgera-stufz.jpg
http://i4.happy-sale.ru/1/7650/76495308/6e1ffd/press-dlya-burgera-stufz.jpg";;;;;;Press-dlya-Burgera-Stufz;;62729099;;Вес;"181 г";Материал;"пищевой пластик";Модель;Stufz;Назначение;"аксессуары для готовки";Размер;"20*12*6 см.";Тип;"Товары для кухни";Упаковка;"картонная коробка";Цвет;красный;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Модификация;Базовая;;
"Набор ножей Miracle Blade World Class (Миракл Блейд)";"Miracle Blade World Class – это набор качественных и долговечных кухонных ножей для резки, чистки и измельчения продуктов, сделанных по немецким технологиям. Многофункциональный набор из 13 кухонных ножей для различных задач — от чистки овощей до рубки мяса. Изготовлены из нержавеющей стали, не подвержены коррозии. Эргономичная ручка ножей из пластика удобно ляжет в руке и облегчит процесс подготовки продуктов. Отличный подарок для друзей и близких.";"<span style=""font-size:20px;"">Преимущества и особенности:</span>
<ul>
	<li>созданные по немецкой технологии, лезвия отличаются прочностью и долговечностью;</li>
	<li>коррозиестойкие лезвия защищены от процесса ржавления;</li>
	<li>эргономичная ручка удобно лежит в руке и не утомляет её при длительном использовании;</li>
	<li>современный дизайн прекрасно впишется в интерьер любой кухни;</li>
	<li>идея для подарка.</li>
</ul>
<br />
<span style=""font-size:20px;"">Комплектация:</span>

<ol>
	<li>нож для чистки овощей и фруктов — 1 шт.;</li>
	<li>нож для стейков — 4 шт.;</li>
	<li>нож для нарезки сыра — 1 шт.;</li>
	<li>нож для обработки филе — 1 шт.;</li>
	<li>топорик для рубки мяса — 1 шт.;</li>
	<li>универсальный нож-резак (шеф-нож) — 1 шт.;</li>
	<li>нож для фигурной нарезки овощей и фруктов (карвер) — 1 шт.;</li>
	<li>нож для резки тонкими ломтиками (слайсер) — 2 шт.;</li>
	<li>кухонные ножницы — 1 шт.</li>
</ol>";;00100191B;"1 290,00";0,00;690,00;7,00000;шт;"http://i4.happy-sale.ru/1/7650/76494681/6e1ffd/nabor-nozhej-miracle-blade-world-class-mirakl-blejd.jpg
http://i4.happy-sale.ru/1/7650/76494682/6e1ffd/nabor-nozhej-miracle-blade-world-class-mirakl-blejd.jpg";;;;;;Nabor-nozhej-Miracle-Blade-World-Class-Mirakl-Blejd;;62723600;;"Заточка лезвия";двухсторонняя;Материал;"нержавеющая сталь, пластик";Модель;"Miracle Blade World Class";Назначение;"ножи и овощечистки";Тип;"наборы для кухни";Упаковка;"картонная коробка";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Модификация;Базовая;;
"Ножницы для нарезки пиццы с лопаткой";"Ножницы для пиццы, пирогов и другой выпечки с лопаткой с лезвиями из нержавеющей стали.
Позволяет легко нарезать любой пирог аккуратными ровными кусочками, не помяв и не раскрошив изделие, и сразу переложить на другую тарелку. Руки при разделке остаются чистыми.";"Ножницы с лопаткой для разделки пиццы, пирогов, любой выпечки сохранит внешний вид изделия, облегчит раздачу блюда, а руки при этом останутся чистыми.<br />
<br />
<span style=""font-size:20px;"">Преимущества и особенности:</span>
<ul>
	<li>нержавеющая сталь лезвия не окисляется при контакте с пищей и потому не влияет на её вкус;</li>
	<li>ножницы снабжены удобной лопаткой, облегчающей подачу и сервировку разрезаемого пирога;</li>
	<li>ножницы разборные и легко моются как вручную, так и в посудомоечной машине.</li>
</ul>";;00101463A;390,00;0,00;250,00;41,00000;шт;"http://i4.happy-sale.ru/1/7650/76494656/6e1ffd/nozhnicy-dlya-narezki-piccy-s-lopatkoj.jpg
http://i4.happy-sale.ru/1/7650/76494657/6e1ffd/nozhnicy-dlya-narezki-piccy-s-lopatkoj.jpg
http://i4.happy-sale.ru/1/7650/76494658/6e1ffd/nozhnicy-dlya-narezki-piccy-s-lopatkoj.jpg";;;;;;Nozhnicy-dlya-narezki-piccy-s-lopatkoj;;62723559;;Вес;"160 г";Материал;"лезвие - нержавеющая сталь, рукоять - пластик";Назначение;"ножницы кухонные";Размер;"27,5*0,8*8,5 см.";Тип;"Товары для кухни";Упаковка;"картонная коробка";Цвет;черный;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Модификация;Базовая;;
"Бутылка для воды-фляжка NotebookPortable Cup, 380 мл";"Компактная, удобная, стильная бутылка-фляжка для воды NotebookPortable Cup можно использовать при занятиях спортом, на отдыхе, в поездке, всегда взять с собой. Объем 380 мл. Размер: 13*3,2*21 см. Материал: пластик.";"Компактная, удобная, стильная бутылка-фляжка для воды NotebookPortable Cup можно использовать при занятиях спортом, на отдыхе, в поездке, всегда взять с собой. Объем 380 мл. Размер: 13*3,2*21 см. Материал: пластик.";;00102571;640,00;0,00;290,00;19,00000;шт;"http://i4.happy-sale.ru/1/7650/76494446/6e1ffd/butylka-dlya-vody-flyazhka-notebookportable-cup-380-ml-1-jpg.jpg
http://i4.happy-sale.ru/1/7650/76494447/6e1ffd/butylka-dlya-vody-flyazhka-notebookportable-cup-380-ml-2-jpg.jpg
http://i4.happy-sale.ru/1/7650/76494448/6e1ffd/butylka-dlya-vody-flyazhka-notebookportable-cup-380-ml-3-jpg.jpg";;;;;;Butylka-dlya-vody-flyazhka-NotebookPortable-Cup-380-ml;;62723555;;Материал;"пищевой пластик";Объем;"380 мл";Размер;"13*3,2*21 см.";Тип;"Товары для дома";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Модификация;Базовая;;
"Овощерезка Nicer Dicer Fusion";"Овощерезка Nicer Dicer Fusion – это компактное, многофункциональное, механическое приспособление для очистки и нарезки овощей и фруктов кубиками и ломтиками. Овощерезка позволит быстро и без особых усили приготовить множество различных блюд: десерты, салаты, нарезать овощи для супов и любых вторых блюд. Герметичный контейнерс крышкой  из пищевого пластика сохранит нарезанные продукты свежими. Стальные высококачественные режущие поверхности сократят время приготовления салатов в разы. В наборе 3 вкладки с 2-мя разными режущими элементами. Легко моется и очищается. Заменит большое количество кухонных приборов и посуды. Не требует подключения к сети.";"В одном наборе собраны инструменты для чистки и нарезки овощей. Овощерезка Nicer Dicer Fusion - это то, что поможет вам красиво и быстро приготовить салат, а так же любимые блюда даже в больших количествах без потери времени. Компактна, не требуетподключения к источнику питания, легко очищать.<br />
<br />
<span style=""font-size:20px;"">Характеристики:</span>
<ul>
	<li>Источник питания: не требует подключения</li>
	<li>Конструкция: отдельно стоящий</li>
	<li>Тип управления: механическое</li>
	<li>Цвет: зеленый</li>
	<li>Материал: пластик</li>
	<li>Материал ножей: нержавеющая сталь</li>
</ul>
<span style=""font-size:20px;"">Комплектация</span>

<ul>
	<li>Контейнер</li>
	<li>Два режущих ножа</li>
	<li>Крышка</li>
	<li>Ручка</li>
</ul>";;00102067;"1 190,00";0,00;450,00;23,00000;шт;"http://i4.happy-sale.ru/1/7650/76492649/6e1ffd/ovoshherezka-nicer-dicer-fusion-jpg.jpg
http://i4.happy-sale.ru/1/7650/76492650/6e1ffd/ovoshherezka-nicer-dicer-fusion-2-jpg.jpg
http://i4.happy-sale.ru/1/7650/76492656/6e1ffd/ovoshherezka-nicer-dicer-fusion-3-jpg.jpg
http://i4.happy-sale.ru/1/7650/76492657/6e1ffd/ovoshherezka-nicer-dicer-fusion-4-jpg.jpg";;;;;;Ovoshherezka-Nicer-Dicer-Fusion;;62722236;;Материал;"пластик, сталь";Питание;"подключение не требуется";Тип;"Товары для кухни";"Тип управления";механическое;Цвет;зеленый;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Модификация;Базовая;;
"Стакан-шейкер нового поколения Spider  Bottle, 500 мл";"Стакан-шейкер нового поколения Spider  Bottle объемом 500 мл изготовлен из экологически чистого пластика без содержания ядовитого бисфенола, спираль шейкера – из высококачественной нержавеющей хирургической стали. Отличия - сверхплотная закручивающаяся крышка и не протекающий носик, два прикручивающихся к дну и друг к другу контейнера для порошка или таблеток.";"<span style=""font-size:16px;"">Стакан-шейкер нового поколения Spider  Bottle объемом 500 мл изготовлен из экологически чистого пластика без содержания ядовитого бисфенола, спираль шейкера – из высококачественной нержавеющей хирургической стали. Отличия - сверхплотная закручивающаяся крышка и не протекающий носик. Каждая деталь конструкции имеет строгую функциональность.<br />
<br />
<span style=""font-size:18px;"">Где можно использовать шейкер?</span><br />
<br />
Идеально подходит для использования в области спортивного питания, профессионального спорта, фитнеса и кулинарии, а также является отличным многофункциональным девайсом в повседневной жизни, на кухне, в путешествиях. Шейкер Spider Bottle навсегда станет превосходным помощником для активных и здоровых людей.<br />
<br />
<span style=""font-size:18px;"">Преимущества шейкера  Spider Bottle:</span><br />
<br />
• Шейкер для использования в спортивном питании.<br />
• Сверхплотная закручивающаяся крышка и не протекающий носик.<br />
• Запатентованная спираль SpiderMix® для равномерного размешивания.<br />
• Два прикручивающихся к дну и друг к другу контейнера для порошка или таблеток.<br />
•  Объем каждого контейнера - 120 мл.<br />
• Таблеточница разделена на три отсека.<br />
<br />
<span style=""font-size:18px;"">Как работает стакан-шейкер Spider Bottle?</span><br />
<br />
Небывалые результаты смешивания и легкость при мытье деталей гарантированы, благодаря высокой гибкости пружины и современному дизайну.<br />
<br />
Положение шейкера №1<br />
При движении шейкером вниз, гибкая пружина SpiderMix® разжимается равномерно, высокоамплитудными ударами расплескивая жидкость по всей поверхности чаши, тем самым, превосходно размешивает ингредиенты.<br />
<br />
Положение шейкера №2<br />
При движении шейкером вверх, гибкая пружина SpiderMix® сокращается, смешивая между собой многочисленные мельчайшие потоки жидкости, проходящие сквозь витки спирали. Благодаря постоянным сокращающим и разжимающим движениям, SpiderMix® полностью устраняет комки и сгустки, гарантируя совершенный результат смешивания.</span>";;00101858A;690,00;0,00;265,00;9,00000;шт;"http://i4.happy-sale.ru/1/7650/76492072/6e1ffd/stakan-shejker-novogo-pokoleniya-spider-bottle-500-ml-1-jpg.jpg
http://i4.happy-sale.ru/1/7650/76492073/6e1ffd/stakan-shejker-novogo-pokoleniya-spider-bottle-500-ml-2-jpg.jpg
http://i4.happy-sale.ru/1/7650/76492074/6e1ffd/stakan-shejker-novogo-pokoleniya-spider-bottle-500-ml-3-jpg.jpg";;;;;;Stakan-shejker-novogo-pokoleniya-SPIDER-BOTTLE-500-ml;;62722118;;Материал;"высококачественный пластик";Объем;"500 мл";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Модификация;Базовая;;
"Термо ланч-бокс из нержавеющей стали 1,4 л зеленый";"Термо ланч-бокс из нержавеющей стали – это два лотка емкостью 700 мл из нержавеющей стали, которые крепятся между собой на две защелки по бокам. Прорезиненные прокладки делают боксы герметичными, жидкость при наклоне не проливается.  Блюдо в таком термо-боксе сохраняет температуру в течение  4-5 часов. Для верхнего лотка есть термо-крышка с ручками и отверстием с силиконовой защелкой.  Данный ланч-бокс – удачное решение для тех людей, кто питается вне дома, для пикника или в поездке.";"<p style=""box-sizing: border-box; outline: 0px; margin: 0px 0px 10px; color: rgb(21, 21, 21); font-family: proximanova; font-size: 14px; background-color: rgb(255, 255, 255);""><span style=""font-size:16px;"">Термо ланч-бокс из нержавеющей стали  - замечательное решение для людей, которые питаются вне дома или для пикника. Все лотки крепятся между собой на две защелки по бокам, для верхнего лотка есть термо - крышка с ручками и отверстием с силиконовой защелкой.</span></p>

<p style=""box-sizing: border-box; outline: 0px; margin: 0px 0px 10px; color: rgb(21, 21, 21); font-family: proximanova; font-size: 14px; background-color: rgb(255, 255, 255);""><span style=""font-size:18px;"">Особенности:</span></p>

<ul style=""box-sizing: border-box; outline: 0px; margin-top: 0px; margin-bottom: 0px; color: rgb(21, 21, 21); font-family: proximanova; font-size: 14px; background-color: rgb(255, 255, 255);"">
	<li style=""box-sizing: border-box; outline: 0px;""><span style=""font-size:16px;"">В термо ланч-боксе блюдо сохраняет свою температуру в течение 4-5 часов.</span></li>
	<li style=""box-sizing: border-box; outline: 0px;""><span style=""font-size:16px;"">Ланч-бокс имеет двуслойную конструкцию для поддержания постоянной температуры: внутренняя емкость выполнена из пищевой нержавеющей стали; внешняя окантовка изготовлена из прочного АБС-пластика.</span></li>
	<li style=""box-sizing: border-box; outline: 0px;""><span style=""font-size:16px;"">Прорезиненная прокладка на крышке и специальные клипсы с обеих сторон обеспечивают герметичность ланч-бокса, благодаря чему продукты и жидкость остаются в емкости даже при наклоне.</span></li>
	<li style=""box-sizing: border-box; outline: 0px;""><span style=""font-size:16px;"">Для удобства переноски ланч-бокса предусмотрены складные ручки.</span></li>
	<li style=""box-sizing: border-box; outline: 0px;""><span style=""font-size:16px;"">Термо ланч-бокс из нержавеющей стали имеет два уровня, что позволяет носить с собой комплексный обед.</span></li>
</ul>";;00102386;990,00;0,00;290,00;9,00000;шт;"http://i4.happy-sale.ru/1/7650/76491950/6e1ffd/termo-lanch-boks-iz-nerzhaveyushhej-stali-2-1-l.jpg
http://i4.happy-sale.ru/1/7650/76491951/6e1ffd/termo-lanch-boks-iz-nerzhaveyushhej-stali-2-1-l.jpg
http://i4.happy-sale.ru/1/7650/76491952/6e1ffd/termo-lanch-boks-iz-nerzhaveyushhej-stali-2-1-l.jpg
http://i4.happy-sale.ru/1/7695/76945207/6e1ffd/termo-lanch-boks-iz-nerzhaveyushhej-stali-1-4-l-zelenyj.jpg";;;;;;Termo-lanch-boks-iz-nerzhaveyushhej-stali-2-1-l-3;;62721842;;Материал;"нержавеющая сталь";Объем;"два ланч-бокса по 700 мл";Тип;"Товары для кухни";Цвет;"голубой, зеленый, оранжевый";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Цвет;Зеленый;;
